age,age group,eligible,job,salary,marital,education,marital-education,targeted,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,response
50,9,N,unknown,20000,divorced,secondary,married-secondary,no,yes,4527,yes,yes,cellular,14,jul,621,31,62,40,failure,yes,1
24,3,N,self-employed,70000,married,primary,divorced-primary,yes,no,132,no,no,unknown,8,jan,844,5,56,11,success,no,1
75,2,Y,services,55000,married,primary,divorced-unknown,no,yes,2620,no,yes,unknown,8,mar,269,35,326,24,unknown,yes,0
66,9,Y,self-employed,0,divorced,unknown,married-tertiary,yes,yes,3810,no,yes,cellular,3,oct,228,22,219,275,success,no,0
61,6,N,entrepreneur,20000,single,tertiary,single-primary,no,yes,188,yes,no,cellular,15,jan,881,16,263,28,unknown,yes,1
52,5,N,unknown,50000,single,unknown,divorced-tertiary,no,no,4280,no,yes,cellular,20,sep,690,26,330,11,failure,yes,0
49,6,Y,unknown,50000,divorced,unknown,married-primary,no,no,6748,yes,no,telephone,27,mar,1187,38,240,15,other,no,1
75,4,N,retired,0,divorced,primary,single-primary,yes,yes,796,yes,yes,telephone,16,apr,300,35,250,35,success,no,1
31,4,N,management,70000,single,tertiary,divorced-primary,no,yes,4322,yes,no,unknown,12,dec,282,12,160,0,other,no,0
26,5,N,unknown,55000,divorced,unknown,single-tertiary,no,no,4382,no,yes,cellular,9,feb,194,23,784,0,failure,yes,1
65,8,N,technician,16000,divorced,unknown,married-primary,no,yes,4634,yes,yes,telephone,26,sep,1656,9,464,32,unknown,yes,1
82,6,N,technician,55000,married,tertiary,married-tertiary,yes,yes,2026,no,yes,cellular,24,jun,1478,6,148,51,failure,yes,0
32,3,Y,blue-collar,8000,divorced,primary,married-primary,no,yes,-697,no,yes,telephone,18,jan,197,31,184,13,success,yes,0
65,3,Y,unknown,4000,divorced,primary,divorced-unknown,no,no,10281,yes,yes,cellular,28,may,363,46,503,58,other,yes,0
18,3,Y,admin.,70000,married,unknown,divorced-secondary,yes,yes,3503,yes,yes,telephone,2,oct,1068,1,804,12,unknown,no,1
64,4,N,unknown,70000,single,unknown,divorced-primary,no,yes,7598,yes,yes,telephone,26,jun,63,2,319,28,unknown,no,1
75,4,Y,self-employed,60000,divorced,secondary,single-secondary,yes,yes,4266,yes,no,unknown,13,jul,507,28,426,40,unknown,yes,1
49,5,N,admin.,50000,divorced,tertiary,divorced-tertiary,yes,yes,11246,yes,no,telephone,5,oct,1165,13,761,3,failure,no,0
50,4,N,retired,20000,divorced,unknown,single-primary,no,no,1538,no,yes,unknown,25,jan,855,26,842,0,failure,no,0
78,5,N,housemaid,16000,divorced,tertiary,single-tertiary,yes,yes,18904,yes,yes,unknown,25,jul,1290,31,166,10,unknown,no,1
63,4,N,retired,70000,married,secondary,divorced-unknown,yes,yes,-467,yes,yes,cellular,8,aug,1170,63,280,13,success,no,1
56,5,Y,retired,0,divorced,tertiary,divorced-tertiary,yes,no,7522,yes,yes,telephone,16,jul,1473,33,102,14,failure,no,0
20,3,N,management,60000,married,unknown,single-secondary,no,yes,3148,yes,yes,unknown,22,may,630,18,557,10,success,yes,1
24,1,N,retired,60000,married,unknown,single-primary,no,yes,3913,no,yes,telephone,8,oct,1569,46,34,28,success,yes,0
93,9,Y,technician,0,single,primary,single-primary,yes,no,16264,yes,yes,cellular,30,oct,343,2,459,58,failure,yes,0
24,3,N,entrepreneur,8000,married,unknown,single-unknown,no,yes,1337,no,yes,cellular,21,sep,338,19,161,41,failure,yes,1
45,7,N,unemployed,0,divorced,primary,divorced-primary,yes,no,2060,no,yes,unknown,4,may,316,2,162,4,success,no,0
60,2,Y,admin.,20000,married,unknown,married-primary,yes,no,-769,yes,yes,cellular,30,nov,368,50,98,16,success,no,0
29,2,N,self-employed,60000,married,unknown,married-tertiary,yes,no,7487,yes,no,unknown,22,dec,107,63,536,58,success,yes,1
76,6,N,blue-collar,100000,divorced,secondary,single-tertiary,yes,no,10332,yes,yes,cellular,8,mar,937,20,217,35,failure,yes,1
69,6,N,management,20000,divorced,primary,divorced-tertiary,no,yes,2391,yes,no,telephone,9,feb,140,31,17,14,failure,yes,0
84,1,Y,technician,4000,single,unknown,divorced-primary,yes,yes,3877,yes,no,cellular,26,jul,762,3,379,40,failure,yes,0
62,2,Y,entrepreneur,120000,married,primary,divorced-primary,no,yes,-117,no,yes,cellular,29,nov,1730,18,149,37,success,no,0
92,5,Y,management,120000,single,primary,single-secondary,no,yes,-427,yes,no,cellular,2,aug,1276,5,332,41,success,yes,1
60,4,Y,retired,0,single,tertiary,divorced-unknown,yes,no,1186,no,no,cellular,9,may,1085,46,373,22,unknown,no,1
63,9,Y,entrepreneur,55000,married,secondary,divorced-unknown,no,no,4644,no,no,telephone,20,jul,111,7,397,3,failure,no,0
38,5,N,unemployed,20000,single,primary,married-unknown,yes,yes,20928,no,yes,telephone,7,jan,1001,38,45,35,failure,yes,0
45,9,N,blue-collar,4000,single,secondary,single-unknown,yes,no,7225,yes,yes,telephone,12,apr,88,29,508,5,failure,yes,1
34,1,N,management,70000,divorced,unknown,married-secondary,yes,yes,2984,no,yes,telephone,16,jun,335,32,109,15,success,no,1
88,7,N,housemaid,50000,married,primary,single-tertiary,yes,yes,5064,no,no,unknown,12,apr,1019,29,500,18,success,yes,1
25,3,N,technician,60000,divorced,primary,single-unknown,no,no,1119,no,yes,telephone,21,nov,1102,41,253,5,failure,no,1
79,2,Y,entrepreneur,55000,divorced,tertiary,divorced-unknown,no,no,3382,no,yes,unknown,21,oct,1372,15,234,20,other,yes,1
63,1,N,management,0,divorced,primary,divorced-secondary,yes,yes,4696,yes,no,telephone,26,nov,945,14,231,2,success,yes,0
50,6,N,self-employed,100000,divorced,tertiary,married-tertiary,yes,yes,3854,yes,yes,telephone,29,apr,501,41,779,8,unknown,yes,0
28,6,Y,housemaid,20000,single,secondary,single-secondary,yes,yes,-720,yes,yes,unknown,4,mar,1103,22,362,30,failure,yes,1
29,2,N,self-employed,60000,divorced,tertiary,single-tertiary,no,no,3374,no,yes,cellular,24,feb,35,22,49,24,unknown,no,1
37,6,Y,retired,4000,single,unknown,single-secondary,yes,no,7687,no,no,cellular,25,jul,1745,12,38,3,success,no,0
72,5,Y,self-employed,20000,married,secondary,single-primary,no,no,3250,no,no,telephone,9,may,1563,37,463,37,success,no,1
95,7,N,entrepreneur,55000,divorced,primary,single-unknown,no,yes,6618,yes,yes,unknown,24,dec,495,29,9,14,other,no,1
70,3,Y,housemaid,70000,single,tertiary,married-unknown,yes,yes,-117,no,no,unknown,3,jun,530,2,15,22,success,no,1
65,4,Y,self-employed,60000,married,tertiary,divorced-primary,no,yes,5074,yes,yes,unknown,11,apr,658,33,60,22,failure,yes,0
73,5,Y,services,120000,married,primary,married-unknown,yes,yes,1911,yes,no,cellular,4,apr,218,10,231,23,failure,yes,1
19,6,Y,self-employed,55000,divorced,tertiary,divorced-primary,no,yes,10667,no,yes,cellular,13,nov,855,9,782,18,unknown,yes,1
86,6,Y,technician,70000,single,primary,married-tertiary,yes,no,143,yes,no,telephone,3,jun,714,46,78,9,failure,no,1
95,6,N,technician,70000,divorced,secondary,single-tertiary,no,yes,2426,no,no,cellular,29,oct,1970,27,101,24,unknown,no,1
62,4,Y,student,16000,married,unknown,married-primary,yes,yes,8224,yes,yes,telephone,11,dec,848,24,776,23,other,yes,0
68,5,Y,unknown,60000,divorced,unknown,married-primary,yes,no,3433,yes,no,unknown,22,jan,2191,8,551,23,other,no,0
76,2,Y,blue-collar,8000,single,unknown,single-secondary,no,no,20479,no,no,cellular,7,jul,1835,27,805,58,failure,no,0
20,6,Y,unemployed,16000,divorced,unknown,single-unknown,yes,yes,6250,yes,no,telephone,22,jul,1109,43,31,9,unknown,yes,0
63,7,N,admin.,120000,married,tertiary,married-unknown,no,yes,858,yes,no,telephone,15,feb,418,33,150,17,success,yes,1
59,2,N,management,55000,married,tertiary,single-secondary,no,no,10252,yes,yes,cellular,2,jan,1503,35,6,41,failure,yes,1
74,8,N,housemaid,70000,married,tertiary,single-secondary,no,yes,1462,no,no,telephone,2,jun,775,7,146,41,success,yes,1
84,9,Y,unemployed,0,single,tertiary,single-primary,yes,yes,1143,yes,no,unknown,11,oct,198,39,345,6,unknown,yes,1
43,8,N,technician,55000,divorced,secondary,married-primary,yes,yes,7968,yes,no,unknown,30,may,52,50,108,23,unknown,yes,1
50,9,Y,blue-collar,16000,single,secondary,single-primary,no,yes,1061,no,yes,unknown,21,nov,138,18,479,3,success,no,0
24,5,Y,services,100000,married,primary,divorced-primary,yes,yes,7296,yes,yes,cellular,8,jan,1957,23,492,5,unknown,yes,0
21,8,Y,self-employed,20000,divorced,tertiary,single-unknown,no,yes,2601,yes,no,cellular,25,feb,502,9,626,41,other,yes,0
64,4,Y,unemployed,55000,married,primary,divorced-primary,no,no,-41,no,no,unknown,29,sep,1234,63,104,13,unknown,yes,0
80,7,N,unknown,8000,married,primary,divorced-tertiary,no,yes,2126,no,yes,cellular,13,oct,1129,63,87,2,failure,yes,1
21,3,N,management,0,divorced,tertiary,divorced-secondary,yes,yes,2309,no,no,cellular,13,aug,1053,28,77,2,unknown,no,0
37,5,Y,self-employed,50000,divorced,primary,divorced-primary,yes,no,4054,no,no,unknown,18,dec,2692,4,339,55,failure,yes,1
40,5,Y,blue-collar,8000,divorced,secondary,divorced-primary,no,yes,1962,no,no,telephone,18,sep,2389,1,150,51,success,yes,1
45,7,N,technician,16000,single,secondary,single-secondary,yes,yes,2939,no,yes,cellular,22,nov,783,26,318,15,other,no,0
76,8,N,student,60000,divorced,primary,single-secondary,yes,yes,-432,no,yes,unknown,3,jan,1171,32,236,55,unknown,yes,0
87,6,N,retired,50000,divorced,primary,single-secondary,yes,yes,-632,yes,no,cellular,1,apr,118,15,255,26,failure,no,0
50,3,N,technician,60000,divorced,tertiary,single-unknown,yes,yes,-706,no,yes,telephone,4,jul,39,46,142,40,other,yes,1
30,7,N,retired,8000,divorced,primary,married-secondary,yes,no,-385,no,yes,cellular,28,nov,436,3,304,10,failure,no,0
50,3,N,entrepreneur,4000,married,primary,married-unknown,no,no,7822,yes,no,unknown,20,jul,1330,17,826,58,unknown,no,0
44,8,Y,entrepreneur,60000,single,primary,single-secondary,yes,yes,4434,no,yes,unknown,5,aug,970,21,372,13,failure,no,0
52,1,Y,unknown,20000,divorced,primary,married-secondary,yes,no,-634,no,no,telephone,24,apr,1203,13,431,25,failure,yes,0
63,7,N,housemaid,55000,married,unknown,divorced-primary,yes,yes,1821,yes,yes,cellular,20,dec,958,35,188,17,failure,yes,0
25,6,N,technician,50000,single,primary,single-unknown,yes,yes,4322,no,yes,cellular,26,dec,2029,18,459,19,unknown,yes,1
89,9,N,unknown,0,married,tertiary,married-tertiary,no,yes,2879,no,yes,cellular,27,dec,1489,24,146,5,other,no,0
19,5,N,unemployed,100000,married,primary,divorced-unknown,no,no,1890,no,yes,unknown,31,oct,967,28,243,20,unknown,yes,0
35,1,N,self-employed,70000,married,secondary,divorced-unknown,yes,no,2113,yes,yes,unknown,21,may,46,10,302,24,success,yes,0
45,9,Y,housemaid,120000,divorced,secondary,married-tertiary,no,yes,10152,yes,no,cellular,19,oct,855,14,656,22,failure,yes,1
48,2,N,retired,16000,married,unknown,divorced-unknown,no,no,4874,no,yes,unknown,16,feb,257,37,317,8,success,yes,0
68,9,Y,retired,20000,divorced,unknown,single-tertiary,yes,yes,4974,no,yes,unknown,14,jul,1310,20,217,28,other,no,0
25,2,Y,admin.,0,single,tertiary,married-secondary,no,no,5270,yes,no,unknown,27,jan,781,31,316,18,failure,yes,0
84,1,N,management,70000,single,tertiary,single-tertiary,yes,yes,3355,no,no,cellular,7,jul,1917,26,775,15,other,no,0
54,8,N,management,100000,single,unknown,single-tertiary,no,no,-938,no,no,telephone,25,apr,443,36,343,9,other,no,0
61,1,Y,management,60000,single,unknown,single-primary,yes,no,3369,yes,no,unknown,20,oct,1033,35,321,22,failure,yes,1
24,1,N,technician,100000,divorced,unknown,married-tertiary,no,no,2026,no,no,unknown,29,jan,149,10,274,28,unknown,yes,1
64,2,N,unknown,4000,divorced,primary,divorced-primary,no,yes,6215,yes,yes,unknown,6,oct,164,13,547,55,other,no,1
70,5,N,housemaid,70000,married,secondary,single-unknown,yes,no,7459,no,no,cellular,17,oct,661,18,233,22,failure,yes,1
70,1,N,admin.,120000,married,unknown,married-unknown,no,yes,-361,no,no,unknown,30,oct,1211,15,683,10,success,yes,1
66,7,N,student,4000,single,primary,single-primary,yes,yes,8963,yes,yes,cellular,25,dec,1460,50,587,32,unknown,no,0
22,4,N,unknown,4000,single,primary,single-primary,yes,yes,1956,no,no,unknown,27,dec,688,6,61,30,other,no,0
47,9,N,management,120000,single,unknown,divorced-primary,no,yes,7290,no,no,telephone,28,jul,1276,6,264,41,failure,no,0
38,3,Y,blue-collar,0,single,tertiary,married-tertiary,yes,yes,-742,no,no,telephone,3,jul,1032,55,33,30,unknown,no,0
84,2,Y,self-employed,0,married,primary,single-primary,yes,yes,-1089,yes,no,telephone,10,oct,1052,51,14,35,success,no,1
66,6,Y,self-employed,55000,divorced,secondary,single-secondary,yes,yes,20718,yes,yes,cellular,8,sep,383,14,216,2,success,yes,0
77,9,Y,management,120000,single,tertiary,married-primary,no,no,6507,no,no,telephone,3,jun,32,63,555,19,other,no,1
18,8,Y,technician,100000,single,primary,married-primary,no,yes,2852,yes,no,telephone,16,jan,822,37,115,25,success,no,1
24,9,N,management,120000,divorced,unknown,married-tertiary,yes,no,1901,no,yes,unknown,14,sep,1271,35,395,10,failure,no,0
26,5,Y,self-employed,120000,divorced,primary,divorced-unknown,yes,no,116,yes,no,telephone,21,jan,766,24,234,25,success,no,1
55,1,Y,unknown,50000,single,tertiary,married-secondary,no,no,211,no,yes,cellular,15,dec,597,15,200,32,unknown,no,0
61,7,N,management,16000,divorced,primary,single-secondary,no,no,37378,no,no,telephone,8,jun,1342,29,37,25,success,yes,0
69,4,Y,unknown,100000,married,secondary,married-secondary,no,yes,2114,yes,yes,cellular,17,nov,224,43,380,51,other,yes,0
77,4,Y,unknown,120000,married,unknown,married-tertiary,no,yes,59,no,no,cellular,25,aug,1554,11,114,41,success,yes,0
74,2,N,retired,70000,divorced,secondary,single-primary,yes,yes,1262,no,no,cellular,4,mar,1388,17,373,18,unknown,yes,0
94,9,Y,retired,20000,divorced,tertiary,divorced-unknown,yes,no,2470,no,yes,cellular,24,sep,184,11,90,1,failure,no,1
71,3,N,retired,20000,divorced,secondary,divorced-primary,no,yes,-145,yes,no,cellular,25,apr,1139,34,329,17,success,no,0
26,9,N,blue-collar,4000,married,primary,divorced-primary,yes,yes,3536,yes,yes,cellular,29,mar,395,43,31,2,unknown,no,1
77,2,N,services,0,married,secondary,single-primary,yes,yes,-637,yes,yes,cellular,14,oct,923,34,772,24,failure,no,0
74,8,N,self-employed,0,married,tertiary,single-tertiary,yes,no,14611,no,no,unknown,26,feb,237,34,414,15,success,no,0
47,2,Y,management,50000,married,secondary,divorced-tertiary,yes,no,6258,yes,yes,telephone,16,feb,1339,5,454,55,unknown,yes,1
44,8,N,student,60000,married,primary,divorced-tertiary,no,yes,3685,no,no,unknown,11,jul,2462,4,73,58,failure,no,0
89,1,Y,entrepreneur,4000,married,primary,married-primary,yes,no,122,no,yes,cellular,11,sep,518,36,439,22,failure,no,0
67,9,N,management,100000,married,secondary,single-unknown,yes,yes,4877,yes,yes,unknown,15,nov,406,51,243,51,failure,no,1
94,1,N,services,100000,single,secondary,married-tertiary,yes,no,1807,yes,yes,unknown,6,dec,1087,44,278,35,unknown,no,0
44,1,N,management,60000,married,tertiary,married-primary,no,yes,1252,no,yes,cellular,26,jul,942,26,224,17,success,no,1
50,9,N,technician,50000,married,primary,married-primary,no,yes,27,no,yes,telephone,3,jan,1550,28,336,41,failure,no,0
23,8,N,blue-collar,16000,married,secondary,single-tertiary,yes,no,8619,yes,no,cellular,31,sep,1812,15,530,6,failure,yes,1
92,7,Y,blue-collar,20000,divorced,primary,divorced-primary,no,yes,4539,no,no,cellular,12,mar,722,7,346,30,failure,yes,0
66,1,N,housemaid,120000,married,unknown,single-tertiary,no,yes,5305,no,yes,telephone,24,apr,1344,41,359,4,failure,yes,1
93,1,N,unknown,50000,single,unknown,married-tertiary,yes,no,1315,no,yes,cellular,12,apr,776,25,198,1,unknown,yes,0
56,1,N,services,8000,married,tertiary,divorced-tertiary,no,no,1,no,yes,cellular,5,jan,480,19,280,21,failure,no,0
52,3,N,admin.,4000,married,secondary,divorced-unknown,yes,yes,4440,no,no,unknown,31,aug,2231,25,484,6,success,no,0
80,3,Y,unemployed,70000,divorced,tertiary,single-secondary,yes,yes,4318,yes,no,unknown,8,jun,158,55,384,6,failure,no,0
56,2,Y,admin.,8000,divorced,primary,divorced-tertiary,yes,no,9569,yes,yes,telephone,15,jan,1190,30,553,18,failure,no,0
72,1,N,blue-collar,20000,single,primary,single-primary,yes,yes,1258,yes,yes,cellular,4,aug,1151,30,234,20,failure,no,1
67,7,N,unknown,120000,divorced,secondary,divorced-secondary,yes,no,532,no,yes,cellular,2,jul,895,63,386,2,failure,no,0
60,1,Y,services,120000,divorced,secondary,single-secondary,yes,no,2257,yes,yes,unknown,21,jan,1109,3,145,0,success,yes,0
45,5,Y,retired,4000,married,tertiary,divorced-unknown,yes,yes,6684,no,yes,unknown,31,may,802,25,105,12,unknown,no,0
83,3,Y,student,50000,divorced,tertiary,married-unknown,no,no,4769,yes,no,cellular,28,dec,1393,25,792,9,success,no,0
80,7,N,entrepreneur,70000,divorced,secondary,single-secondary,yes,yes,1133,yes,no,unknown,11,jun,1009,16,186,9,success,yes,0
32,9,Y,unemployed,70000,married,secondary,married-secondary,no,no,2815,no,no,telephone,21,mar,1074,44,221,26,success,yes,0
85,4,Y,services,100000,married,unknown,divorced-unknown,yes,yes,9680,yes,no,telephone,3,jul,926,50,379,29,other,yes,1
59,8,N,services,70000,divorced,unknown,divorced-unknown,no,no,6837,yes,yes,cellular,27,jan,1837,5,77,8,unknown,no,0
85,8,Y,self-employed,4000,divorced,tertiary,divorced-secondary,no,yes,3104,yes,yes,telephone,25,dec,374,58,341,20,other,no,0
43,7,N,entrepreneur,16000,divorced,primary,divorced-tertiary,no,no,2997,yes,yes,cellular,27,jan,1104,8,307,37,success,no,1
70,7,Y,unemployed,120000,single,primary,divorced-tertiary,yes,yes,8254,no,yes,unknown,5,apr,48,43,345,35,other,yes,0
87,1,N,technician,60000,single,tertiary,divorced-secondary,no,yes,-1014,yes,yes,unknown,18,mar,1162,6,177,11,other,yes,0
93,3,Y,entrepreneur,8000,divorced,primary,married-unknown,yes,yes,-159,no,no,telephone,17,may,1730,34,54,0,success,no,0
34,9,N,student,70000,married,secondary,married-unknown,yes,no,3610,no,no,unknown,4,jul,986,13,255,21,other,yes,1
19,6,N,student,70000,divorced,unknown,single-secondary,no,no,1226,no,yes,unknown,8,jan,1435,24,237,27,unknown,yes,1
69,7,N,management,100000,single,secondary,single-primary,yes,no,1817,no,no,cellular,5,apr,493,11,474,18,success,no,1
86,6,N,admin.,4000,married,tertiary,married-tertiary,yes,no,2816,no,yes,unknown,1,jan,700,55,291,17,unknown,yes,0
44,4,N,management,16000,divorced,secondary,married-tertiary,no,yes,1481,no,no,cellular,31,jan,368,39,152,21,other,no,0
72,4,N,housemaid,50000,single,secondary,married-primary,no,yes,5506,yes,yes,telephone,4,aug,884,63,13,13,success,no,1
39,2,N,technician,120000,divorced,secondary,single-unknown,no,yes,8837,no,no,cellular,18,jan,935,16,196,0,unknown,no,1
54,7,N,unknown,60000,single,primary,single-secondary,no,yes,3392,no,yes,cellular,11,jul,725,16,241,26,failure,yes,0
79,9,N,services,4000,divorced,unknown,married-unknown,no,yes,5004,no,yes,unknown,19,aug,166,30,193,8,unknown,no,1
55,6,N,unemployed,16000,married,primary,married-primary,no,yes,1784,yes,yes,unknown,2,jul,469,58,238,25,other,yes,0
69,9,N,management,120000,single,unknown,married-tertiary,yes,yes,1347,yes,yes,cellular,3,aug,607,63,108,38,failure,no,0
28,5,Y,blue-collar,0,single,tertiary,single-secondary,yes,yes,3047,yes,no,cellular,28,apr,383,23,428,3,failure,yes,1
48,1,N,retired,4000,divorced,tertiary,divorced-secondary,no,no,-287,yes,yes,telephone,11,dec,147,11,252,17,failure,no,1
36,8,N,unemployed,70000,single,primary,single-secondary,no,no,4054,yes,yes,cellular,20,may,1195,41,680,0,other,no,0
29,9,N,entrepreneur,50000,married,secondary,married-unknown,yes,no,2399,no,yes,unknown,30,mar,106,3,242,40,success,no,1
79,7,Y,retired,50000,single,secondary,married-unknown,yes,no,11146,yes,yes,telephone,17,aug,840,27,338,8,other,yes,1
33,3,N,entrepreneur,120000,single,secondary,married-unknown,no,no,9326,no,no,cellular,4,dec,3322,16,102,27,success,no,1
37,3,N,unemployed,100000,married,primary,married-secondary,no,no,2369,no,no,unknown,31,jun,451,20,332,4,unknown,yes,1
59,6,Y,self-employed,120000,married,secondary,single-tertiary,yes,no,4545,yes,no,cellular,30,may,498,22,504,0,unknown,yes,0
48,4,N,self-employed,60000,divorced,tertiary,single-tertiary,yes,no,2162,no,no,unknown,20,may,449,3,284,13,failure,yes,1
55,7,N,services,0,divorced,tertiary,married-secondary,no,no,11953,yes,no,cellular,30,nov,625,34,359,21,other,yes,1
44,8,Y,housemaid,16000,married,tertiary,married-secondary,no,no,463,no,no,unknown,12,feb,79,33,72,8,other,yes,0
34,5,N,technician,20000,single,tertiary,divorced-tertiary,yes,yes,-1312,yes,yes,cellular,15,may,616,33,347,6,failure,yes,0
52,7,N,management,50000,divorced,secondary,married-primary,no,no,1289,no,yes,cellular,15,sep,482,5,459,5,failure,yes,0
80,7,N,technician,120000,divorced,primary,single-secondary,no,no,1810,yes,no,cellular,8,mar,1447,5,178,30,other,no,1
95,8,N,housemaid,16000,married,secondary,single-unknown,no,no,1764,yes,no,cellular,11,jun,358,34,7,32,unknown,yes,0
77,5,Y,services,100000,single,unknown,divorced-primary,yes,yes,3047,no,yes,unknown,26,dec,235,34,683,51,unknown,no,0
20,6,N,technician,50000,single,unknown,divorced-tertiary,yes,yes,7554,yes,no,cellular,23,mar,934,55,442,16,failure,yes,0
29,8,Y,blue-collar,20000,married,tertiary,single-unknown,no,no,6005,yes,yes,telephone,7,aug,988,11,361,0,failure,no,1
82,3,Y,housemaid,20000,single,unknown,single-unknown,no,no,6770,no,yes,unknown,4,jul,1248,3,181,20,other,yes,0
32,4,N,student,16000,married,tertiary,divorced-tertiary,yes,no,4871,yes,no,telephone,12,mar,157,32,125,32,other,yes,1
43,8,Y,unknown,8000,divorced,tertiary,married-primary,yes,yes,11904,yes,yes,telephone,17,apr,480,17,18,38,success,yes,1
68,4,N,student,100000,divorced,secondary,single-primary,no,no,4185,yes,no,cellular,15,oct,568,44,262,38,failure,yes,0
75,8,N,self-employed,16000,married,unknown,single-primary,yes,no,199,no,yes,cellular,2,may,667,39,18,14,unknown,yes,0
58,5,Y,housemaid,8000,single,primary,single-secondary,no,no,1116,yes,no,unknown,15,may,148,36,442,10,failure,no,1
86,3,N,services,50000,single,secondary,divorced-secondary,no,yes,6215,no,yes,cellular,6,jul,326,38,284,11,failure,yes,0
74,3,Y,services,0,single,secondary,single-secondary,no,no,460,no,yes,telephone,12,may,1597,7,101,24,success,yes,0
54,4,Y,management,55000,single,secondary,married-tertiary,yes,no,6376,no,no,cellular,27,dec,1030,22,407,25,unknown,yes,0
75,5,N,entrepreneur,120000,divorced,unknown,divorced-tertiary,yes,no,2879,yes,no,telephone,28,jul,1233,1,433,30,other,yes,1
18,1,N,management,70000,single,primary,single-primary,yes,no,3281,no,no,cellular,18,dec,864,2,205,12,unknown,yes,0
38,7,N,management,8000,married,secondary,married-unknown,no,yes,1152,no,no,cellular,17,jun,278,30,587,18,other,no,1
38,6,Y,services,16000,married,unknown,divorced-unknown,no,yes,2639,no,yes,telephone,19,jun,61,12,73,26,other,no,0
53,6,N,unknown,55000,divorced,unknown,married-primary,no,no,576,no,yes,telephone,2,jan,670,50,784,51,unknown,no,0
82,9,N,services,100000,married,tertiary,married-secondary,yes,yes,1973,yes,yes,unknown,27,mar,1222,27,413,16,failure,yes,1
77,5,N,unknown,0,divorced,tertiary,single-secondary,yes,yes,12264,no,no,unknown,26,jun,1200,17,784,25,unknown,no,0
62,3,N,services,0,single,secondary,divorced-primary,no,yes,8963,yes,no,telephone,7,may,1835,34,177,28,unknown,yes,0
93,7,Y,entrepreneur,55000,single,primary,single-primary,yes,no,556,yes,yes,cellular,5,feb,187,35,45,16,failure,no,0
43,7,N,housemaid,60000,single,unknown,married-primary,yes,no,5763,yes,yes,cellular,14,oct,182,19,13,9,success,yes,1
21,4,Y,retired,20000,married,primary,divorced-tertiary,no,yes,639,yes,yes,unknown,20,nov,2219,6,776,13,success,yes,0
95,6,Y,blue-collar,120000,divorced,secondary,divorced-unknown,no,no,27733,yes,yes,telephone,22,jan,668,4,110,27,other,no,0
80,4,Y,services,4000,divorced,tertiary,divorced-primary,no,no,10772,yes,no,unknown,1,sep,1486,22,450,32,unknown,no,0
74,9,N,management,0,married,primary,divorced-unknown,no,yes,2036,no,yes,telephone,14,apr,67,55,110,55,unknown,yes,1
77,7,N,blue-collar,16000,married,secondary,married-secondary,yes,yes,268,no,no,unknown,9,sep,1057,19,686,28,failure,yes,1
39,9,N,services,70000,divorced,secondary,married-secondary,yes,yes,-646,yes,yes,unknown,18,sep,567,19,13,21,failure,no,1
53,6,Y,unknown,8000,divorced,tertiary,single-tertiary,no,yes,11862,no,no,unknown,1,sep,608,32,235,3,success,no,0
53,4,Y,retired,8000,divorced,tertiary,divorced-tertiary,no,no,1998,no,no,telephone,27,mar,935,19,531,55,other,yes,0
53,1,Y,services,70000,single,unknown,married-primary,yes,no,162,yes,yes,cellular,21,may,1258,15,239,12,other,no,1
83,1,Y,retired,55000,married,primary,married-secondary,no,no,3165,no,no,telephone,16,apr,1425,35,458,4,unknown,yes,0
48,5,Y,unemployed,4000,single,secondary,divorced-unknown,no,no,21292,no,no,unknown,14,sep,987,15,648,9,failure,yes,1
38,9,N,housemaid,0,divorced,secondary,single-secondary,no,yes,325,yes,yes,unknown,4,jan,933,19,372,4,unknown,no,1
47,2,Y,services,16000,married,tertiary,divorced-unknown,yes,yes,495,no,yes,unknown,8,dec,1147,30,399,41,failure,yes,1
41,3,Y,blue-collar,55000,single,primary,married-unknown,no,yes,310,yes,no,telephone,20,jun,930,18,264,3,other,no,1
70,2,Y,technician,60000,divorced,tertiary,single-unknown,yes,yes,3605,yes,no,unknown,11,nov,22,30,444,1,success,yes,0
32,9,N,retired,100000,married,secondary,married-unknown,yes,no,530,yes,no,unknown,4,apr,1416,33,651,26,other,yes,1
69,3,Y,blue-collar,16000,single,unknown,single-unknown,no,no,7649,yes,yes,cellular,2,sep,138,38,784,10,unknown,no,0
81,3,N,blue-collar,4000,married,unknown,married-secondary,no,yes,355,yes,yes,cellular,14,sep,86,19,2,19,failure,yes,0
29,3,Y,entrepreneur,70000,married,primary,single-primary,no,yes,1285,yes,no,unknown,3,jun,696,16,227,16,unknown,yes,0
54,2,Y,unemployed,4000,single,tertiary,married-unknown,no,yes,-443,no,no,telephone,7,aug,539,38,214,21,success,no,1
47,8,Y,admin.,0,divorced,tertiary,single-secondary,yes,yes,4840,yes,no,cellular,11,jun,439,35,128,22,unknown,no,0
25,9,N,admin.,60000,divorced,tertiary,single-unknown,yes,yes,2496,no,no,cellular,27,apr,977,35,670,15,unknown,yes,0
28,6,Y,retired,100000,divorced,tertiary,married-primary,no,no,-849,yes,yes,cellular,28,nov,209,44,558,21,other,yes,1
