id,Duration in months,Credit history,Purpose of the credit,Credit amount,Status of savings account/bonds,Present employment(years),Installment rate in percentage of disposable income,personal_status,Other debtors / guarantors,Present residence since X years,Property,Age in years,Other installment plans (banks/stores),Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Status of existing checking account
1182,32,existing paid,radio/tv,705,500<=X<1000,unemployed,4,male div/sep,none,4,no known property,51,stores,for free,2,skilled,2,yes,yes,good
1183,56,delayed previously,domestic appliance,7265,100<=X<500,>=7,2,male single,none,2,car,20,stores,for free,2,unskilled resident,2,yes,yes,bad
1184,32,critical/other existing credit,repairs,2638,<100,>=7,1,male mar/wid,guarantor,4,real estate,41,stores,own,3,high qualif/self emp/mgmt,2,yes,no,good
1185,12,critical/other existing credit,business,8795,100<=X<500,<1,3,male mar/wid,none,2,life insurance,44,stores,rent,1,skilled,2,yes,no,bad
1186,66,no credits/all paid,education,8880,<100,<1,1,male mar/wid,co applicant,1,real estate,63,none,rent,1,unemp/unskilled non res,2,yes,no,bad
1187,47,delayed previously,used car,2126,no known savings,<1,1,male single,co applicant,2,no known property,62,bank,for free,2,unskilled resident,1,none,no,good
1188,25,existing paid,domestic appliance,6197,100<=X<500,4<=X<7,2,female div/dep/mar,co applicant,2,real estate,52,stores,for free,2,unemp/unskilled non res,2,none,no,bad
1189,9,no credits/all paid,radio/tv,3992,500<=X<1000,>=7,4,male mar/wid,co applicant,1,no known property,72,none,for free,2,unskilled resident,1,none,no,bad
1190,60,all paid,repairs,13085,500<=X<1000,<1,4,male single,co applicant,4,no known property,70,stores,own,1,unskilled resident,2,none,yes,good
1191,29,delayed previously,repairs,8139,>=1000,4<=X<7,3,male single,guarantor,4,car,26,none,own,1,unskilled resident,2,none,yes,good
1192,18,existing paid,new car,4408,>=1000,4<=X<7,3,female div/dep/mar,guarantor,2,life insurance,22,stores,for free,1,unemp/unskilled non res,1,none,yes,good
1193,20,all paid,used car,17598,>=1000,<1,2,male div/sep,none,3,life insurance,75,none,own,3,unskilled resident,2,none,yes,good
1194,28,delayed previously,radio/tv,16633,>=1000,4<=X<7,4,female div/dep/mar,co applicant,2,real estate,54,none,for free,3,skilled,2,yes,yes,good
1195,5,all paid,new car,17539,<100,4<=X<7,1,male mar/wid,none,1,car,33,bank,rent,4,skilled,1,none,yes,bad
1196,19,delayed previously,furniture/equipment,6875,no known savings,1<=X<4,4,male mar/wid,none,4,life insurance,60,stores,own,4,unemp/unskilled non res,2,none,yes,good
1197,55,all paid,furniture/equipment,2204,500<=X<1000,<1,3,male mar/wid,co applicant,4,life insurance,47,none,rent,2,skilled,1,none,no,bad
1198,35,delayed previously,furniture/equipment,5540,no known savings,>=7,4,male single,none,2,car,34,none,for free,3,skilled,2,yes,yes,bad
1199,14,delayed previously,furniture/equipment,8074,no known savings,<1,3,male single,none,1,no known property,26,stores,for free,1,unskilled resident,2,yes,no,good
1200,34,no credits/all paid,domestic appliance,4915,500<=X<1000,<1,3,female div/dep/mar,none,4,no known property,72,stores,for free,1,unskilled resident,2,yes,no,good
1201,34,critical/other existing credit,furniture/equipment,18230,500<=X<1000,unemployed,4,female div/dep/mar,co applicant,4,real estate,57,stores,own,3,unemp/unskilled non res,2,none,no,bad
1202,5,existing paid,domestic appliance,7060,no known savings,<1,1,male div/sep,guarantor,1,real estate,46,bank,for free,1,unskilled resident,2,yes,no,good
1203,63,existing paid,domestic appliance,8087,>=1000,>=7,1,male single,co applicant,2,life insurance,67,stores,own,4,unemp/unskilled non res,1,none,no,bad
1204,63,delayed previously,repairs,3093,<100,4<=X<7,2,female div/dep/mar,guarantor,3,real estate,30,stores,for free,4,unskilled resident,1,yes,yes,bad
1205,13,delayed previously,education,18308,100<=X<500,<1,4,female div/dep/mar,guarantor,4,no known property,39,none,own,3,high qualif/self emp/mgmt,1,none,no,bad
1206,48,existing paid,used car,4162,500<=X<1000,1<=X<4,3,male div/sep,guarantor,3,real estate,42,none,for free,4,skilled,2,none,yes,bad
1207,15,critical/other existing credit,repairs,7895,>=1000,unemployed,3,male single,co applicant,3,car,54,none,rent,4,high qualif/self emp/mgmt,1,yes,yes,bad
1208,22,existing paid,retraining,5258,no known savings,4<=X<7,4,male mar/wid,co applicant,3,car,34,none,own,1,high qualif/self emp/mgmt,2,none,yes,good
1209,43,existing paid,retraining,1384,no known savings,1<=X<4,3,male single,co applicant,1,no known property,59,none,for free,2,high qualif/self emp/mgmt,1,none,yes,bad
1210,54,no credits/all paid,other,15773,100<=X<500,unemployed,3,male div/sep,none,2,real estate,74,stores,rent,4,unemp/unskilled non res,2,none,no,bad
1211,45,critical/other existing credit,new car,13684,100<=X<500,<1,2,male div/sep,none,3,no known property,73,bank,own,2,skilled,2,none,yes,good
1212,41,existing paid,repairs,9182,<100,unemployed,4,male mar/wid,guarantor,1,no known property,33,stores,rent,3,skilled,1,none,yes,good
1213,40,existing paid,other,9467,<100,1<=X<4,3,male div/sep,none,2,no known property,33,bank,own,3,high qualif/self emp/mgmt,2,yes,no,bad
1214,20,no credits/all paid,business,13646,500<=X<1000,>=7,3,male mar/wid,none,3,real estate,48,none,for free,3,skilled,1,none,no,good
1215,57,all paid,furniture/equipment,7005,no known savings,>=7,1,male single,co applicant,2,real estate,46,bank,for free,1,high qualif/self emp/mgmt,2,none,no,good
1216,45,critical/other existing credit,used car,14892,100<=X<500,4<=X<7,2,female div/dep/mar,guarantor,1,car,51,bank,for free,1,unemp/unskilled non res,1,yes,no,good
1217,48,no credits/all paid,radio/tv,12390,500<=X<1000,4<=X<7,4,male div/sep,co applicant,4,car,63,stores,own,4,unskilled resident,2,yes,yes,good
1218,17,delayed previously,retraining,6678,no known savings,>=7,3,male div/sep,co applicant,4,life insurance,50,stores,for free,1,skilled,2,none,no,bad
1219,45,all paid,business,7560,<100,4<=X<7,4,male div/sep,co applicant,1,real estate,19,bank,for free,3,unemp/unskilled non res,2,yes,no,good
1220,69,critical/other existing credit,education,5236,100<=X<500,1<=X<4,2,male single,co applicant,4,real estate,74,stores,for free,4,unskilled resident,1,none,no,bad
1221,31,delayed previously,other,10802,100<=X<500,<1,3,male mar/wid,none,2,car,39,none,own,2,skilled,2,none,yes,bad
1222,63,no credits/all paid,used car,8613,>=1000,unemployed,3,female div/dep/mar,co applicant,2,no known property,57,stores,for free,4,unskilled resident,1,none,yes,bad
1223,36,delayed previously,repairs,12258,no known savings,4<=X<7,4,female div/dep/mar,guarantor,2,no known property,52,stores,rent,2,high qualif/self emp/mgmt,1,none,no,good
1224,55,critical/other existing credit,used car,2366,500<=X<1000,>=7,4,female div/dep/mar,none,3,car,21,none,rent,2,skilled,1,yes,yes,bad
1225,48,all paid,business,4057,100<=X<500,1<=X<4,2,male div/sep,guarantor,1,no known property,59,none,rent,2,high qualif/self emp/mgmt,1,none,no,bad
1226,46,existing paid,other,1169,>=1000,1<=X<4,3,male single,none,2,car,27,none,for free,1,skilled,1,none,no,bad
1227,59,all paid,domestic appliance,4641,100<=X<500,<1,3,male div/sep,none,4,life insurance,57,none,for free,1,high qualif/self emp/mgmt,1,yes,no,bad
1228,6,no credits/all paid,education,15321,<100,1<=X<4,3,male div/sep,none,2,car,51,none,own,3,unskilled resident,2,yes,no,bad
1229,18,delayed previously,repairs,10491,<100,unemployed,1,female div/dep/mar,none,3,no known property,70,bank,rent,3,high qualif/self emp/mgmt,2,yes,yes,bad
1230,39,critical/other existing credit,used car,12306,<100,<1,4,female div/dep/mar,co applicant,2,car,47,stores,rent,1,high qualif/self emp/mgmt,1,none,yes,bad
1231,71,no credits/all paid,education,15297,500<=X<1000,<1,1,female div/dep/mar,guarantor,4,real estate,75,bank,own,4,unskilled resident,2,none,yes,bad
1232,15,existing paid,education,9634,>=1000,unemployed,1,female div/dep/mar,co applicant,3,car,73,stores,for free,2,high qualif/self emp/mgmt,1,none,yes,bad
1233,56,existing paid,new car,13642,100<=X<500,>=7,1,male single,none,2,real estate,23,bank,for free,4,skilled,2,none,no,bad
1234,8,existing paid,other,7114,<100,<1,1,female div/dep/mar,none,4,car,75,stores,rent,1,high qualif/self emp/mgmt,1,yes,no,bad
1235,71,all paid,domestic appliance,10245,no known savings,<1,1,female div/dep/mar,none,1,no known property,66,none,for free,4,high qualif/self emp/mgmt,2,none,yes,bad
1236,27,critical/other existing credit,furniture/equipment,12743,500<=X<1000,1<=X<4,4,male single,co applicant,4,car,61,bank,rent,4,unskilled resident,2,yes,yes,bad
1237,43,all paid,business,10547,500<=X<1000,unemployed,3,female div/dep/mar,co applicant,4,car,45,bank,rent,3,unskilled resident,2,none,yes,good
1238,21,no credits/all paid,education,6000,no known savings,unemployed,2,male mar/wid,co applicant,3,life insurance,32,none,own,2,unskilled resident,1,none,no,good
1239,22,delayed previously,retraining,11659,500<=X<1000,1<=X<4,4,female div/dep/mar,none,2,no known property,66,bank,for free,1,high qualif/self emp/mgmt,2,yes,no,bad
1240,36,delayed previously,radio/tv,13251,no known savings,1<=X<4,1,male single,none,2,car,41,stores,rent,4,unemp/unskilled non res,1,none,no,bad
1241,4,critical/other existing credit,other,3399,<100,<1,1,male div/sep,guarantor,3,no known property,22,bank,for free,3,high qualif/self emp/mgmt,2,none,no,good
1242,37,all paid,new car,13010,100<=X<500,4<=X<7,4,male mar/wid,guarantor,3,real estate,40,bank,own,1,unskilled resident,1,none,no,bad
1243,30,existing paid,used car,5039,100<=X<500,>=7,1,male mar/wid,none,4,no known property,37,none,rent,4,unskilled resident,2,none,no,good
1244,18,delayed previously,education,1212,500<=X<1000,1<=X<4,3,male div/sep,co applicant,1,real estate,23,none,own,3,unemp/unskilled non res,2,none,yes,good
1245,70,delayed previously,business,15417,500<=X<1000,>=7,1,male mar/wid,co applicant,3,life insurance,57,none,own,1,skilled,2,yes,yes,bad
1246,55,existing paid,business,14639,no known savings,4<=X<7,4,male single,co applicant,1,real estate,65,bank,for free,3,skilled,1,yes,no,good
1247,38,critical/other existing credit,furniture/equipment,10053,>=1000,1<=X<4,1,female div/dep/mar,guarantor,2,real estate,56,stores,own,4,unemp/unskilled non res,2,yes,no,bad
1248,57,critical/other existing credit,furniture/equipment,9788,<100,1<=X<4,4,male div/sep,guarantor,1,life insurance,43,stores,rent,3,high qualif/self emp/mgmt,2,yes,yes,good
1249,59,all paid,other,5249,500<=X<1000,>=7,1,male single,none,1,life insurance,52,bank,for free,1,unskilled resident,1,none,no,bad
1250,62,existing paid,retraining,14783,>=1000,4<=X<7,2,male div/sep,guarantor,3,car,58,bank,for free,1,high qualif/self emp/mgmt,1,none,yes,bad
1251,32,all paid,business,3422,no known savings,4<=X<7,2,male div/sep,guarantor,2,car,29,bank,for free,1,high qualif/self emp/mgmt,1,yes,no,good
1252,11,delayed previously,furniture/equipment,8971,500<=X<1000,>=7,1,female div/dep/mar,none,3,no known property,33,bank,for free,3,unemp/unskilled non res,1,yes,yes,good
1253,7,no credits/all paid,repairs,12446,500<=X<1000,<1,1,male mar/wid,none,1,real estate,19,stores,for free,2,unemp/unskilled non res,2,none,yes,bad
1254,30,existing paid,new car,9682,no known savings,1<=X<4,1,male single,guarantor,2,life insurance,48,bank,own,1,unskilled resident,1,yes,yes,good
1255,69,existing paid,education,13823,500<=X<1000,>=7,2,male mar/wid,co applicant,2,life insurance,66,bank,rent,2,high qualif/self emp/mgmt,2,none,no,bad
1256,21,all paid,domestic appliance,7988,100<=X<500,>=7,3,female div/dep/mar,none,4,car,43,stores,own,3,unemp/unskilled non res,2,yes,yes,bad
1257,63,existing paid,retraining,15691,100<=X<500,>=7,1,female div/dep/mar,co applicant,4,car,52,stores,for free,2,high qualif/self emp/mgmt,2,yes,no,good
1258,13,no credits/all paid,business,9610,no known savings,>=7,4,female div/dep/mar,none,3,real estate,50,bank,for free,2,high qualif/self emp/mgmt,1,none,yes,bad
1259,51,delayed previously,other,3515,<100,>=7,1,male div/sep,guarantor,1,life insurance,44,stores,rent,1,skilled,1,none,yes,good
1260,21,existing paid,used car,14463,500<=X<1000,1<=X<4,2,male div/sep,co applicant,3,no known property,28,none,for free,2,skilled,2,yes,no,bad
1261,59,no credits/all paid,new car,17406,no known savings,1<=X<4,3,male single,co applicant,3,real estate,55,stores,for free,3,unskilled resident,2,yes,no,good
1262,49,existing paid,domestic appliance,11980,no known savings,>=7,1,male single,guarantor,4,no known property,40,stores,for free,4,unemp/unskilled non res,1,none,yes,bad
1263,35,all paid,used car,13177,500<=X<1000,1<=X<4,1,male mar/wid,guarantor,3,no known property,60,stores,own,3,skilled,2,none,no,bad
1264,11,delayed previously,new car,15782,500<=X<1000,1<=X<4,2,male div/sep,co applicant,3,real estate,75,stores,rent,3,skilled,2,none,no,bad
1265,14,existing paid,business,6734,no known savings,1<=X<4,4,female div/dep/mar,guarantor,4,life insurance,55,bank,for free,4,unemp/unskilled non res,1,yes,no,good
1266,51,no credits/all paid,retraining,17043,>=1000,1<=X<4,3,male div/sep,none,2,real estate,57,none,own,4,high qualif/self emp/mgmt,1,yes,no,bad
1267,67,delayed previously,other,3072,no known savings,>=7,4,female div/dep/mar,co applicant,2,real estate,20,stores,for free,4,unskilled resident,1,none,no,bad
1268,31,critical/other existing credit,used car,12331,<100,unemployed,3,male mar/wid,guarantor,3,no known property,52,stores,own,2,unskilled resident,1,yes,yes,bad
1269,8,critical/other existing credit,repairs,1516,100<=X<500,<1,2,male mar/wid,guarantor,2,no known property,66,none,rent,4,unemp/unskilled non res,2,none,yes,good
1270,59,critical/other existing credit,new car,15214,no known savings,unemployed,1,male div/sep,co applicant,4,real estate,48,none,for free,3,unemp/unskilled non res,1,none,yes,bad
1271,71,existing paid,furniture/equipment,15578,<100,<1,4,male div/sep,guarantor,1,no known property,64,bank,rent,1,unemp/unskilled non res,1,none,no,bad
1272,19,all paid,new car,10662,>=1000,1<=X<4,2,male div/sep,guarantor,3,life insurance,32,bank,own,2,unemp/unskilled non res,1,yes,yes,good
1273,54,existing paid,business,11431,100<=X<500,<1,1,male single,co applicant,3,real estate,52,bank,rent,2,unskilled resident,2,none,no,bad
1274,61,existing paid,other,9620,>=1000,unemployed,4,male single,guarantor,1,life insurance,44,none,rent,3,skilled,1,none,yes,good
1275,41,all paid,furniture/equipment,505,500<=X<1000,<1,4,male div/sep,guarantor,4,life insurance,59,none,for free,3,unemp/unskilled non res,1,none,yes,good
1276,68,no credits/all paid,radio/tv,8993,>=1000,<1,3,male mar/wid,none,3,life insurance,37,stores,for free,3,unemp/unskilled non res,2,none,no,good
1277,5,no credits/all paid,retraining,16784,100<=X<500,4<=X<7,1,female div/dep/mar,none,4,no known property,38,bank,for free,1,unskilled resident,2,yes,no,good
1278,69,no credits/all paid,radio/tv,382,>=1000,unemployed,1,male single,co applicant,3,life insurance,74,bank,for free,2,unskilled resident,2,yes,yes,good
1279,36,all paid,other,17000,100<=X<500,<1,3,male div/sep,guarantor,4,life insurance,62,stores,for free,2,unemp/unskilled non res,1,yes,no,bad
1280,45,existing paid,education,9228,no known savings,>=7,2,male div/sep,none,2,life insurance,65,stores,rent,4,high qualif/self emp/mgmt,1,none,no,bad
1281,32,critical/other existing credit,domestic appliance,5261,>=1000,unemployed,2,male div/sep,none,4,no known property,55,stores,rent,4,unskilled resident,1,yes,yes,good
1282,5,critical/other existing credit,new car,11217,>=1000,4<=X<7,3,male mar/wid,co applicant,2,real estate,39,stores,for free,2,high qualif/self emp/mgmt,2,none,yes,bad
1283,27,critical/other existing credit,other,4884,no known savings,4<=X<7,4,male mar/wid,none,1,no known property,56,stores,own,4,skilled,2,none,yes,bad
1284,7,no credits/all paid,repairs,12223,100<=X<500,1<=X<4,1,male div/sep,guarantor,1,car,61,stores,own,3,skilled,2,yes,yes,good
1285,20,all paid,business,17563,500<=X<1000,4<=X<7,4,male single,none,1,no known property,46,none,own,3,unskilled resident,2,none,no,bad
1286,67,no credits/all paid,used car,14286,100<=X<500,<1,4,male single,guarantor,1,life insurance,31,bank,own,4,unemp/unskilled non res,1,none,no,good
1287,8,existing paid,furniture/equipment,10770,<100,unemployed,1,male mar/wid,none,3,life insurance,62,bank,for free,4,skilled,1,yes,no,bad
1288,35,critical/other existing credit,used car,7626,500<=X<1000,4<=X<7,4,male mar/wid,none,2,no known property,23,bank,for free,2,skilled,2,none,no,good
1289,63,no credits/all paid,radio/tv,13887,100<=X<500,1<=X<4,2,male div/sep,none,3,life insurance,67,stores,rent,3,unemp/unskilled non res,1,none,yes,good
1290,15,no credits/all paid,radio/tv,8168,no known savings,unemployed,4,male single,guarantor,3,real estate,28,stores,for free,1,unemp/unskilled non res,1,yes,no,bad
1291,66,critical/other existing credit,education,5440,<100,>=7,1,male mar/wid,none,1,real estate,57,none,for free,3,unemp/unskilled non res,2,none,yes,bad
1292,61,critical/other existing credit,new car,4551,500<=X<1000,4<=X<7,3,male mar/wid,co applicant,1,real estate,37,stores,for free,1,unemp/unskilled non res,1,none,no,bad
1293,12,delayed previously,furniture/equipment,12308,>=1000,>=7,3,female div/dep/mar,none,3,no known property,35,none,for free,2,unemp/unskilled non res,1,none,no,good
1294,56,no credits/all paid,furniture/equipment,11049,500<=X<1000,1<=X<4,1,male div/sep,none,3,car,46,none,for free,4,unemp/unskilled non res,1,none,no,bad
1295,54,critical/other existing credit,other,3161,500<=X<1000,unemployed,1,female div/dep/mar,none,4,no known property,45,stores,for free,1,unemp/unskilled non res,1,yes,no,bad
1296,39,delayed previously,business,1535,500<=X<1000,4<=X<7,2,male mar/wid,none,1,no known property,29,stores,for free,3,unemp/unskilled non res,2,none,yes,bad
1297,45,existing paid,used car,10778,<100,unemployed,4,male single,none,2,car,67,stores,own,4,high qualif/self emp/mgmt,1,yes,yes,good
1298,26,no credits/all paid,domestic appliance,10604,100<=X<500,1<=X<4,3,male single,guarantor,1,real estate,47,stores,own,4,high qualif/self emp/mgmt,2,yes,yes,good
1299,36,existing paid,domestic appliance,1917,500<=X<1000,<1,1,female div/dep/mar,guarantor,1,real estate,52,none,rent,2,unemp/unskilled non res,1,yes,no,good
1300,12,all paid,used car,1208,500<=X<1000,>=7,4,male mar/wid,guarantor,2,real estate,19,none,own,1,skilled,2,none,yes,bad
1301,46,delayed previously,repairs,17989,500<=X<1000,1<=X<4,2,male mar/wid,guarantor,3,life insurance,23,none,own,1,unskilled resident,2,none,no,bad
1302,26,no credits/all paid,used car,2094,100<=X<500,unemployed,2,male single,co applicant,2,real estate,33,bank,for free,2,unskilled resident,1,none,no,good
1303,12,existing paid,repairs,8628,>=1000,4<=X<7,3,male mar/wid,guarantor,1,no known property,71,none,own,2,unemp/unskilled non res,2,yes,yes,bad
1304,48,existing paid,domestic appliance,2486,500<=X<1000,1<=X<4,1,male mar/wid,none,3,no known property,42,bank,rent,4,high qualif/self emp/mgmt,1,yes,no,good
1305,32,no credits/all paid,used car,15985,500<=X<1000,unemployed,2,male mar/wid,guarantor,1,life insurance,47,stores,own,3,unskilled resident,2,none,no,good
1306,30,no credits/all paid,education,8747,>=1000,4<=X<7,1,male single,guarantor,1,life insurance,59,stores,rent,3,unskilled resident,2,none,yes,good
1307,11,critical/other existing credit,other,4534,<100,>=7,2,male div/sep,none,1,car,27,none,own,4,skilled,2,none,yes,good
1308,20,existing paid,business,17426,no known savings,<1,4,female div/dep/mar,co applicant,4,real estate,52,bank,for free,4,high qualif/self emp/mgmt,2,yes,yes,good
1309,56,no credits/all paid,business,4193,500<=X<1000,>=7,1,male mar/wid,none,1,real estate,41,none,own,2,skilled,2,none,yes,good
1310,71,no credits/all paid,new car,17990,>=1000,>=7,3,male mar/wid,guarantor,1,car,72,stores,for free,3,unemp/unskilled non res,1,yes,no,bad
1311,18,all paid,furniture/equipment,13436,no known savings,4<=X<7,1,female div/dep/mar,guarantor,1,life insurance,61,stores,own,1,unemp/unskilled non res,2,yes,yes,bad
1312,32,existing paid,new car,17169,100<=X<500,>=7,4,male div/sep,co applicant,2,no known property,48,stores,own,1,high qualif/self emp/mgmt,1,none,yes,good
1313,62,delayed previously,domestic appliance,13008,>=1000,<1,2,male div/sep,none,1,real estate,22,none,rent,3,unskilled resident,1,none,no,bad
1314,67,all paid,other,5043,<100,<1,1,female div/dep/mar,none,3,life insurance,44,bank,rent,3,unemp/unskilled non res,1,yes,yes,good
1315,63,delayed previously,new car,17753,100<=X<500,4<=X<7,4,male div/sep,co applicant,2,no known property,54,none,rent,1,unemp/unskilled non res,2,none,yes,good
1316,11,delayed previously,business,6961,>=1000,<1,3,male mar/wid,co applicant,2,car,75,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,good
1317,66,critical/other existing credit,other,17809,500<=X<1000,>=7,4,male div/sep,co applicant,2,real estate,21,bank,rent,3,unskilled resident,2,yes,no,bad
1318,41,all paid,new car,3054,no known savings,4<=X<7,4,female div/dep/mar,none,3,no known property,34,stores,rent,2,unskilled resident,1,none,no,bad
1319,30,all paid,furniture/equipment,1025,no known savings,unemployed,2,female div/dep/mar,guarantor,4,real estate,64,bank,for free,2,high qualif/self emp/mgmt,1,yes,yes,good
1320,12,critical/other existing credit,retraining,12239,>=1000,unemployed,1,male div/sep,guarantor,1,car,61,none,for free,4,skilled,1,yes,no,good
1321,31,delayed previously,retraining,3729,no known savings,>=7,2,female div/dep/mar,co applicant,1,life insurance,54,bank,rent,4,unskilled resident,1,none,yes,good
1322,15,existing paid,used car,8303,500<=X<1000,1<=X<4,3,male div/sep,guarantor,4,life insurance,21,bank,own,2,unemp/unskilled non res,2,none,no,bad
1323,62,delayed previously,used car,519,>=1000,4<=X<7,1,male mar/wid,co applicant,3,car,62,bank,own,4,unemp/unskilled non res,2,none,no,good
1324,53,no credits/all paid,radio/tv,15252,no known savings,>=7,4,female div/dep/mar,none,1,no known property,20,none,for free,1,unemp/unskilled non res,1,yes,no,bad
1325,47,no credits/all paid,business,9317,100<=X<500,unemployed,1,female div/dep/mar,none,2,real estate,67,bank,own,3,unemp/unskilled non res,2,none,yes,bad
1326,36,critical/other existing credit,education,6535,>=1000,<1,4,male div/sep,none,2,real estate,56,bank,rent,1,unskilled resident,1,yes,yes,bad
1327,12,existing paid,other,7205,>=1000,unemployed,1,male div/sep,co applicant,1,life insurance,31,stores,for free,1,skilled,1,none,no,good
1328,42,delayed previously,used car,713,>=1000,<1,1,male mar/wid,none,2,life insurance,65,bank,own,3,high qualif/self emp/mgmt,1,yes,yes,good
1329,56,delayed previously,education,11649,no known savings,1<=X<4,1,male single,guarantor,1,life insurance,57,stores,own,3,high qualif/self emp/mgmt,2,yes,no,bad
1330,28,all paid,domestic appliance,15174,500<=X<1000,1<=X<4,3,male div/sep,co applicant,3,car,29,bank,rent,2,skilled,1,none,yes,bad
1331,8,delayed previously,furniture/equipment,4144,500<=X<1000,<1,4,female div/dep/mar,none,3,real estate,34,none,rent,4,unemp/unskilled non res,2,none,yes,good
1332,18,delayed previously,business,16793,<100,<1,3,male single,co applicant,2,real estate,64,stores,rent,4,high qualif/self emp/mgmt,2,none,no,bad
1333,14,all paid,education,3057,500<=X<1000,>=7,3,male single,none,4,real estate,23,stores,rent,3,high qualif/self emp/mgmt,2,yes,no,good
1334,70,all paid,education,8341,no known savings,<1,2,male mar/wid,co applicant,2,no known property,45,none,own,1,high qualif/self emp/mgmt,2,none,no,good
1335,36,existing paid,domestic appliance,12023,no known savings,4<=X<7,4,male div/sep,none,4,real estate,21,bank,rent,4,high qualif/self emp/mgmt,2,none,no,bad
1336,16,all paid,new car,4716,<100,<1,2,male div/sep,co applicant,4,life insurance,43,bank,for free,4,unemp/unskilled non res,1,yes,yes,good
1337,45,all paid,domestic appliance,11518,100<=X<500,>=7,2,male div/sep,none,2,car,36,none,own,3,unemp/unskilled non res,2,yes,no,bad
1338,19,existing paid,education,7975,100<=X<500,4<=X<7,1,female div/dep/mar,guarantor,4,car,58,none,own,4,high qualif/self emp/mgmt,2,none,no,good
1339,55,delayed previously,repairs,18120,>=1000,4<=X<7,1,female div/dep/mar,co applicant,2,life insurance,56,none,for free,4,high qualif/self emp/mgmt,2,yes,no,good
1340,51,critical/other existing credit,business,17405,500<=X<1000,<1,2,male single,none,1,no known property,73,none,for free,2,unskilled resident,2,none,no,bad
1341,12,all paid,new car,17650,100<=X<500,>=7,2,female div/dep/mar,co applicant,4,real estate,56,none,for free,2,high qualif/self emp/mgmt,1,none,yes,good
1342,11,existing paid,retraining,18201,<100,4<=X<7,2,male single,co applicant,2,real estate,32,none,own,1,high qualif/self emp/mgmt,1,none,no,bad
1343,20,existing paid,furniture/equipment,1475,100<=X<500,1<=X<4,3,female div/dep/mar,guarantor,4,car,43,none,own,3,unemp/unskilled non res,1,none,no,good
1344,44,delayed previously,used car,7497,100<=X<500,<1,3,female div/dep/mar,co applicant,2,car,25,bank,for free,2,unskilled resident,1,none,yes,bad
1345,21,delayed previously,new car,10530,no known savings,1<=X<4,1,male mar/wid,none,4,life insurance,20,none,for free,4,high qualif/self emp/mgmt,2,none,no,good
1346,15,critical/other existing credit,retraining,3760,500<=X<1000,4<=X<7,1,male mar/wid,co applicant,3,car,23,bank,for free,3,skilled,2,yes,no,good
1347,12,delayed previously,domestic appliance,4825,100<=X<500,<1,3,male mar/wid,none,2,car,73,stores,own,4,unskilled resident,2,none,yes,good
1348,30,no credits/all paid,education,14515,>=1000,4<=X<7,1,male mar/wid,co applicant,4,life insurance,21,none,own,4,high qualif/self emp/mgmt,1,yes,yes,good
1349,22,no credits/all paid,radio/tv,2824,no known savings,>=7,3,male div/sep,guarantor,3,life insurance,33,none,rent,4,unemp/unskilled non res,2,none,yes,bad
1350,20,no credits/all paid,other,4682,<100,1<=X<4,3,male div/sep,none,4,life insurance,46,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,bad
1351,46,delayed previously,business,17071,500<=X<1000,<1,4,male single,guarantor,3,real estate,57,none,for free,3,skilled,2,none,no,bad
1352,58,no credits/all paid,furniture/equipment,17256,>=1000,<1,1,female div/dep/mar,none,4,car,65,bank,rent,2,skilled,1,none,yes,good
1353,32,all paid,used car,1823,>=1000,1<=X<4,3,female div/dep/mar,co applicant,4,no known property,55,bank,own,1,unskilled resident,2,none,yes,good
1354,43,critical/other existing credit,retraining,5291,500<=X<1000,>=7,4,female div/dep/mar,none,3,real estate,32,none,rent,2,unemp/unskilled non res,2,none,no,bad
1355,24,existing paid,business,7690,no known savings,unemployed,1,male single,none,4,real estate,74,stores,rent,3,unskilled resident,1,none,no,bad
1356,18,no credits/all paid,domestic appliance,13052,>=1000,unemployed,2,male mar/wid,co applicant,2,car,27,stores,own,3,skilled,2,yes,no,good
1357,65,existing paid,domestic appliance,4432,<100,<1,1,male div/sep,co applicant,1,car,45,none,own,2,high qualif/self emp/mgmt,1,yes,no,good
1358,11,all paid,business,15039,500<=X<1000,1<=X<4,2,female div/dep/mar,guarantor,4,car,27,stores,for free,2,high qualif/self emp/mgmt,1,yes,no,bad
1359,24,critical/other existing credit,education,14678,100<=X<500,>=7,4,male mar/wid,guarantor,4,real estate,40,none,own,4,high qualif/self emp/mgmt,2,none,no,good
1360,34,critical/other existing credit,repairs,16699,<100,>=7,3,male div/sep,guarantor,1,real estate,49,stores,for free,2,high qualif/self emp/mgmt,1,yes,yes,good
1361,27,existing paid,radio/tv,7458,100<=X<500,<1,1,female div/dep/mar,guarantor,4,life insurance,75,stores,own,2,unskilled resident,1,yes,yes,good
1362,11,critical/other existing credit,domestic appliance,11956,<100,>=7,3,male single,none,1,no known property,27,bank,rent,4,unskilled resident,1,yes,yes,bad
1363,18,no credits/all paid,other,6867,no known savings,unemployed,4,male div/sep,none,4,life insurance,69,none,for free,4,skilled,2,none,yes,good
1364,39,existing paid,business,3425,>=1000,1<=X<4,1,male mar/wid,co applicant,2,life insurance,23,bank,rent,1,unemp/unskilled non res,1,yes,yes,bad
